Do you feel safe riding your bicycle in Syracuse,Why or why not?,What changes would you like to see in cycling infrastructure?,Does the current state of infrastructure affect your plans for the future?,What type of riding do you do?,What gender you identify with?,What is your employment status?,Where economic class would you put yourself in?,What age range are you in?
No,Too few bike lanes. ,More bike lanes!,No,Recreation,Woman,Full time,Middle Class,51-60
No,I do not feel safe because of high speed vehicles adjacent to bike lanes.,"I would like to see more speed tables for cars, separated bike lanes (ideally) or even buffered bike lanes.","No, I’m here for my degree.","Recreation, Commuting",Woman,Grad student at a local college,Lower Middle Class,21-30
Yes,"I feel safe to ride in Syracuse because I never ride on the road, I only ride on closed trails. I am too scared to be hit by a car on the road. ","I’m not sure, I do not have any thoughts on it at the moment.",Not really ,Recreation,Man,Full time,Lower Class,21-30
Yes,"I answered Yes but it would be more appropriate to say mostly yes but sometimes no. I've been bike commuting about 3 miles a day for several years and my experience has improved, especially when bike lanes were added to Salina. The main issue I feel now is with cars driving recklessly, speeding through red lights, and some drivers driving aggressively towards me as a cyclist.","Expand the mileage of bike lanes and more places with secure (ideally indoor) bike parking. I've too often locked my bike outside to come back and find something stolen, including brake pads... I'd also like to see more dedicated bike lockup areas, not being forced to use a street sign.",I'm encouraged by the investment the City is making in bike infrastructure. ,"Recreation, Commuting",Man,Full time,Upper Middle,41-50
No,"Terrible infrastructure, bike lanes disappear, big busy intersections.",Better bike lanes ,Does not encourage staying.,"Recreation, Commuting",Woman,Full time,Middle Class,21-30
Yes,"I feel as safe in Syracuse as any other city, sometimes more safe because there's not much traffic",Bike lanes on more streets!,I find Syracuse more bikeable than anywhere else I've lived before and it's definitely a factor making me more reluctant to leave,"Recreation, Commuting",Woman,Full time,Upper Middle,21-30
Yes,Feel safe: I know how to get around & use bike paths & safe streets when possible.,"Better painting of bike lanes with the direction arrows included. Not infrastructure, but more City sponsored bike activities. Bike week, month, etc. Mini roundabouts at problematic intersections to slow traffic.",No,"Recreation, Commuting",Man,Other,Middle Class,71-80
No,"I don’t feel safe because aside from a couple miles on Erie Blvd, we don’t have truly protected bike lanes. I’ve gotten t-boned and thrown off my bike by a truck once on my commute and typically brace for impact at least a few times a week (I commute to work via bike every day). I commute on the Genesee St. bike lane but it’s definitely more of a suggestion than a designated area for bikers to safely commute. Cars swerve into the bike lane, open car doors into it, park in it, etc. And having a suggested bike lane like the one on Genesee is best case scenario for Syracuse — most other streets have nothing to even signal to cars that a biker might be riding on the same road. When I think about where I want to buy a house in the city, I do take into consideration how safely I’ll be able to commute. For example, I like Tipp Hill and Strathmore neighborhoods but it’s a nightmare biking to/from because of how unsafe the roads are — so I won’t consider buying a house in those neighborhoods. Given how weak the housing market already is in Syracuse we can’t really afford to not be investing in aspects of neighborhoods and infrastructure that will actually attract people to the city. ",More protected bike lanes. ,I’ll probably keep living in the City but it dramatically impacts my choices in term of where I’ll consider buying a house and where I won’t. ,"Recreation, Commuting",Woman,Full time,Middle Class,21-30
No,Drivers do not follow signs and lights ,More bike lanes with the white poles like other cities. ,No ,"Recreation, Commuting",Woman,Full time,Upper Middle,41-50
Yes,There are bike lanes in the areas that I need to navigate,Better enforcement of “no parking in bike lanes”,"The direction the city is moving in invites me to stay, but the current state is still difficult in places",Commuting,Man,Full time,Lower Middle Class,21-30
No,Not enough bike lanes,"More bike lanes, smoother roads",No,Recreation,Woman,Full time,Upper Middle,41-50
No,"I do not feel safe because of the lack of bike lanes, especially protected bike lanes. As well as a lack of awareness and education about when cars/bikes/pedestrians have the right of way.",More protected bike lanes. More places to lock up bikes.,"As much as I would love to stay in the city, the current bike infrastructure does not give me much hope and does encourage me to leave for somewhere more bike friendly.","Recreation, Commuting",Man,Full time,Lower Middle Class,21-30
No,I often need to bike with my kids and there have been enough instances where I really how risky it is. Been yelled at by parents of other kids in the same school. ,"Bike lanes through major thorough-ways outside of just Westcott / University. For my family, a lane on Butternut and/or Court would greatly expand safety for my kids, especially crossing over 81.","I’d stay, but it affects how much we can bike.",Recreation,Woman,Full time,Middle Class,31-40
Yes,"I don't think it's as clear a yes or no, some places feel safe, others not.  A protected bike lane makes it feel much safer, an unprotected bike lane feels ok generally, while no bike lane feels unsafe on anywhere that isn't a neighborhood street",More protected bike lanes,Neutral ,"Recreation, Commuting",Man,Part time,Middle Class,21-30
No,constantly at risk of getting plowed by a distracted driver in a huge suv. ,I doubt anymore bike lanes would do anything. The protected bike path on Erie blvd is amazing tho! ,Not really. I’m a rider I’m always gonna ride. ,"Recreation, Commuting",Man,Full time,Lower Middle Class,31-40
No,I do not feel safe because bike lanes are inconsistent and construction projects often cut off all safe access for cyclists.,"More bike lanes, and construction that doesn’t block them fully. More ways to do long rides out of the city.",No,"Recreation, Commuting",Woman,Grad student at a local college,Middle Class,21-30
