Do you feel safe riding your bicycle in Syracuse,Why or why not?,What changes would you like to see in cycling infrastructure?,Does the current state of infrastructure affect your plans for the future?,What type of riding do you do?,What gender you identify with?,What is your employment status?,Where economic class would you put yourself in?,What age range are you in?
No,"Traffic awareness, cell phone use by drivers and electric bikes not following rules of road or use of lights or safety gear.  No understanding of right of way or what side of road to be on.  Better education and awareness needed.",many,"Think this problem is widespread, no plans of leaving at this point, just try to stay hyper aware, consider all vehicles as potential killers.","Recreation, Commuting",Man,Other,Middle Class,51-60
No,Because literally no one here knows how to drive or abide by traffic laws,Bike lanes ,Definitely leave ,Recreation,Woman,Part time,Lower Middle Class,31-40
No,"There are basically no protected bike lanes. Speed limits are at 30mph at a minimum, which more often than not, leads motorists to drive at 35 if not 40mph.",Adding protectes bike lanes would be ideal. Remove some lanes of traffic in favor of bike lanes.,"It mostly encourages me to leave. There are other aspects that encourage me to stay, but biking infrastructure is definitely an added value to the city.","Recreation, Commuting",Man,Full time,Upper Middle,31-40
No,Cars don’t like cyclists here. Specifically cement trucks. ,Just general kindness on the road. Don’t try to pass on a blind turn/hill. Give appropriate space. ,Leave,Recreation,Woman,Other,Lower Middle Class,21-30
No,"The ""bike lanes"" are unprotected and usually in the middle of a bus lane. Drivers also aren't paying attention to anything in general, much less a bike. The lanes downtown also are where parked cars open their doors into the ""bike lane"".","Some actual dedicated lanes, instead of painting some lines.","Certainly enjoy biking on the creek walk and downtown, just have to be aware of the bad drivers.",Recreation,Man,Undergrad at a local college,Middle Class,41-50
No,"Inconsistent bike paths, drivers who don’t pay attention to you/bike paths, parking in paths, drivers who speed by while I’m riding or take such a wide berth that they are in the oncoming lane and risk traffic accidents, glass in the road, and I’ve even had someone try to knock me off my bike (or at least threaten to do so) while riding.","Dedicated, linear, cross city bike lanes without hundreds of stop signs and traffic lights. Better bike awareness campaigns from the city, road speed reductions for shared roadways.","I personally have learned to hold my space while biking but I worry about my kids, even on our street. I don’t think it would encourage me to leave but it certainly factors into why future plans.","Recreation, Commuting",Man,Full time,Middle Class,31-40
No,Not enough bike lanes ,More bike lanes ,No ,"Recreation, Commuting",Man,Full time,Lower Middle Class,21-30
No,"The new traffic circles on Brighton are insane, and there does not seem to be a plan for cycling or even pedestrian infrastructure.","Bike lanes! Or at least wider shoulders if nobody can bother to give us something as precious as a bike lane. Consideration that we actually exist would be nice, too…",Encourages me to move back to Ithaca. They at least care a little bit.,"Recreation, Commuting","Non-binary, genderqueer, or gender fluid",Full time,Middle Class,41-50
No,Congested. Distracted drivers. Awful cycling infrastructure as well as awful driving infrastructure. High crime. Gun violence. ,Better allocation of resources for the betterment of all. Government waste way too much. ,"Yes, I am likely to leave the area. ","Recreation, Commuting",Man,Full time,Middle Class,41-50
Yes,Because of bike lines and overall cars are aware.,"More bike lines, because of course!","Not a factor. Biking in the city has been great for me though. Without it, I wouldn’t have made some of the connections I did. ","Recreation, Commuting",Man,Grad student at a local college,Middle Class,21-30
No,"Car drivers are generally nice but a few aggressive ones are enough to make me afraid. They drive up too close, or honk at me for no clear reason, which startle me and I often can't react in time to find out who's honking and why and if I need to get out of the way. A lot of drivers just seem really poorly educated and yell at me to get on the sidewalk. If I do that I get yelled at by pedestrians. It's a no win.

When it snows, the ploughs push all the snow to the sides where I ride. If I take the lane I get cursed at, yelled at, or honked at, or get aggressively taken over. The bike lanes also often don't get ploughed in time and are super packed with ice. 

The constant construction is also a problem. Construction vehicles often park in bike lanes or obstruct them or have dangerous debris.","Sheltered bike lane, better salting during ice conditions, bollards to prevent cars from parking in bike lanes. Reinforcing fines for parking in bike lanes. ",I have to stay but it does make me want to get a car instead and just contribute to the problems of too many cars.,Commuting,Woman,Full time,Middle Class,31-40
No,Lack of physical separation from car traffic,"Physical barriers, separated paths from roadways","Yes, moved back to the area from DC where I relied 75% on my bike to now in Syracuse I don’t dream of it","Recreation, Commuting",Man,Full time,Middle Class,31-40
No,Not enough bike lanes or sidewalks throughout city.,"More bike lanes, more sidewalks. The city needs to not just be car-friendly, but also pedestrian and cyclist-friendly.",The fact that I can't feel safe walking or cycling everywhere strongly makes me consider leaving.,"Recreation, Commuting",Woman,Full time,Middle Class,21-30
Yes,I am experienced,Better roads! Also they need to leave bike routes open during construction. Also the bike path that runs through boulevard as part of Erie Canal trail is very poor. Too many lights.,To leave,"Recreation, Commuting",Man,Undergrad at a local college,Upper Middle,21-30
No,Drivers don’t watch for cyclists and are aggressive with cyclists,Enforcement of not parking in bike lanes,Encourage leaving,Recreation,Man,Part time,Middle Class,41-50
Yes,I love using the creek walk to commute to work & love the bike community ,"More protected bike lanes, clear snow & ice from paved paths",I’m more likely to spend time downtown when the infrastructure is safe for pedestrians and bikes. ,"Recreation, Commuting",Woman,Full time,Lower Middle Class,31-40
Yes,Some times I do and others I don't ,"Less traffic, better public transportation ",I would stay in the city of syracuse ,Recreation,Man,Full time,Middle Class,31-40
Yes,"I’m a lifelong rider using multiple lights and a bright vest, AND I know what I’m doing.",MORE BIKE LANES PAINTED BRIGHT GREEN.,I live here!,Recreation,Man,Part time,Upper Middle,71-80
